features,propertyType,zoning
"{""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true}",Single Family,PAD
"{""architectureType"": ""French Provincial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""floorCount"": 2, ""roomCount"": 8}",Single Family,R5
"{""architectureType"": ""Condo / Apartment"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Condo,R-1:SINGLE FAM-RES
"{""error"": ""Invalid JSON""}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Package"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,OPUD
{},Apartment,Unknown
{},Unknown,Unknown
"{""error"": ""Invalid JSON""}",Townhouse,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle (Not Wood)"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,R3
"{""error"": ""Invalid JSON""}",Condo,Unknown
"{""architectureType"": ""Ranch / Rambler"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R-2
"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Fiberglass"", ""unitCount"": 1}",Single Family,Unknown
"{""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""roofType"": ""Other"", ""unitCount"": 1}",Single Family,"0100:SINGLE FAM,GENERAL"
"{""architectureType"": ""Mobile Home"", ""garage"": true, ""garageType"": ""Detached""}",Manufactured,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Crawl / Raised"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Underground / Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6}",Townhouse,R-4-HIGH DENSITY APARTMEN
"{""exteriorType"": ""Other"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 5, ""unitCount"": 1, ""architectureType"": ""Conventional""}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Commercial"", ""heating"": true, ""roofType"": ""Composition Shingle""}",Single Family,RMU
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 4, ""unitCount"": 1}",Condo,Unknown
"{""heating"": true, ""heatingType"": ""Central""}",Vacant,Unknown
"{""architectureType"": ""Split Level"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Log Cabin / Rustic"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,R-I
"{""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,SF 7200
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Siding"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 10, ""unitCount"": 2}",Duplex-Triplex,Unknown
"{""architectureType"": ""Duplex"", ""cooling"": true, ""coolingType"": ""Window"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Duplex-Triplex,Z239
"{""architectureType"": ""Contemporary"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Concrete"", ""garage"": true, ""garageSpaces"": 5, ""garageType"": ""Carport"", ""roofType"": ""Shingle (Not Wood)"", ""roomCount"": 13, ""unitCount"": 1}",Single Family,U/04/00 - MULTI-LUO
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
